Time, TargetPitch, SensorPitch, TargetRoll, SensorRoll, VelM1, VelM2, VelM3
16.1950,0.0000, -0.0024,0.0000, -0.0028,0.0240, 0.0439, 0.0439
33.1986,0.0000, -0.0024,0.0000, -0.0028,0.0639, 0.0639, 0.0439
53.1940,0.0000, -0.0024,0.0000, -0.0028,0.1238, 0.0639, -0.2157
73.1925,0.0000, -0.0023,0.0000, -0.0026,-0.0759, 0.1039, -0.2557
93.1907,0.0000, -0.0023,0.0000, -0.0024,0.0639, 0.2637, -0.3555
113.1923,0.0000, -0.0024,0.0000, -0.0021,0.0839, 0.1638, -0.0759
133.1888,0.0000, -0.0025,0.0000, -0.0018,0.1039, 0.0240, 0.0439
153.1877,0.0000, -0.0024,0.0000, -0.0016,0.0839, 0.0639, 0.0639
173.1886,0.0000, -0.0023,0.0000, -0.0011,0.1438, 0.0639, 0.0839
193.1875,0.0000, -0.0020,0.0000, -0.0007,0.0240, 0.0639, 0.0439
213.1862,0.0000, -0.0018,0.0000, -0.0003,0.2237, 0.0639, 0.0439
234.1891,0.0000, -0.0019,0.0000, -0.0001,0.1638, 0.0439, 0.0240
253.1859,0.0000, -0.0019,0.0000, -0.0001,0.0439, 0.0040, -0.1758
274.1846,0.0000, -0.0017,0.0000, -0.0001,0.0839, -0.2357, 0.0439
294.1835,0.0000, -0.0016,0.0000, -0.0003,0.0639, 0.1438, 0.0439
314.1809,0.0000, -0.0015,0.0000, -0.0005,0.0439, 0.1039, 0.0639
334.1814,0.0000, -0.0014,0.0000, -0.0007,0.0439, 0.0439, 0.0839
354.1827,0.0000, -0.0015,0.0000, -0.0009,0.0639, 0.0639, 0.1039
374.1811,0.0000, -0.0015,0.0000, -0.0011,0.0639, 0.0639, -0.0759
394.1799,0.0000, -0.0016,0.0000, -0.0012,0.0639, 0.0639, 0.0240
414.1802,0.0000, -0.0017,0.0000, -0.0013,0.0639, 0.0639, -0.0559
434.1784,0.0000, -0.0017,0.0000, -0.0014,0.2437, 0.0639, -0.0559
454.1765,0.0000, -0.0016,0.0000, -0.0014,0.1238, 0.1039, -0.0559
474.1762,0.0000, -0.0016,0.0000, -0.0014,0.1638, 0.1638, 0.1438
494.1758,0.0000, -0.0014,0.0000, -0.0014,0.0839, -0.0360, -0.1558
514.1740,0.0000, -0.0012,0.0000, -0.0015,0.1238, 0.0639, 0.1838
534.1730,0.0000, -0.0010,0.0000, -0.0014,0.2637, 0.0639, 0.0439
554.1740,0.0000, -0.0008,0.0000, -0.0009,-0.0360, 0.0639, 0.0839
574.1716,0.0000, -0.0007,0.0000, -0.0002,0.0639, 0.0439, 0.0439
595.1731,0.0000, -0.0005,0.0000, 0.0005,0.0439, 0.0439, 0.0040
615.1731,0.0000, -0.0002,0.0000, 0.0009,0.0240, 0.0040, 0.0240
635.1701,0.0000, 0.0001,0.0000, 0.0011,0.1438, 0.0240, 0.0439
655.1700,0.0000, 0.0003,0.0000, 0.0011,-0.0160, 0.0240, 0.0639
675.1687,0.0000, 0.0003,0.0000, 0.0011,0.0240, -0.0559, 0.0839
695.1700,0.0000, 0.0000,0.0000, 0.0010,0.0040, -0.0360, 0.2237
715.1688,0.0000, -0.0008,0.0000, 0.0008,0.0439, 0.0439, -0.0559
735.1846,0.0000, -0.0017,0.0000, 0.0006,0.0639, 0.0439, 0.2836
755.1684,0.0000, -0.0021,0.0000, 0.0005,0.0639, 0.0439, 0.4234
775.1662,0.0000, -0.0025,0.0000, 0.0003,0.0639, 0.0639, 0.1039
795.1660,0.0000, -0.0027,0.0000, 0.0001,0.0639, 0.0639, 0.0439
815.1658,0.0000, -0.0028,0.0000, -0.0001,0.1039, 0.0639, -0.3356
835.1656,0.0000, -0.0027,0.0000, -0.0002,0.1238, 0.0439, -0.2557
855.1624,0.0000, -0.0025,0.0000, -0.0002,0.3036, 0.0439, -0.2956
875.1628,0.0000, -0.0022,0.0000, 0.0001,0.0839, 0.0240, -0.0360
895.1624,0.0000, -0.0020,0.0000, 0.0005,0.1838, -0.2157, 0.0240
915.1611,0.0000, -0.0015,0.0000, 0.0009,0.2237, -0.1358, 0.0439
936.1604,0.0000, -0.0007,0.0000, 0.0014,0.2037, 0.1638, 0.0639
956.1581,0.0000, 0.0002,0.0000, 0.0018,0.0839, 0.0439, 0.0839
976.1579,0.0000, 0.0010,0.0000, 0.0018,0.0439, 0.0639, 0.2637
995.1579,0.0000, 0.0016,0.0000, 0.0017,-0.1558, 0.0639, 0.4035
1016.1554,0.0000, 0.0017,0.0000, 0.0015,-0.1158, 0.0639, 0.1238
1036.1560,0.0000, 0.0011,0.0000, 0.0012,-0.3755, 0.0839, 0.2836
1056.1527,0.0000, 0.0001,0.0000, 0.0009,-0.0160, -0.0360, -0.0759
1076.1559,0.0000, -0.0010,0.0000, 0.0004,0.0439, 0.0639, 0.0240
1096.1528,0.0000, -0.0018,0.0000, -0.0002,0.0439, 0.0639, 0.0040
1116.1508,0.0000, -0.0024,0.0000, -0.0006,0.0639, 0.0439, -0.2157
1136.1497,0.0000, -0.0027,0.0000, -0.0010,0.1039, 0.0439, 0.0639
1156.1478,0.0000, -0.0025,0.0000, -0.0012,0.0040, 0.0240, -0.0160
1176.1483,0.0000, -0.0020,0.0000, -0.0013,0.1238, 0.0240, -0.1558
1196.1487,0.0000, -0.0017,0.0000, -0.0011,0.1838, -0.0360, -0.0959
1216.1472,0.0000, -0.0012,0.0000, -0.0006,0.0639, 0.1039, 0.0240
1236.1443,0.0000, -0.0004,0.0000, 0.0002,0.0639, 0.0439, 0.0240
1256.1455,0.0000, -0.0000,0.0000, 0.0008,-0.0959, 0.0639, 0.0439
1276.1453,0.0000, 0.0003,0.0000, 0.0013,0.0639, 0.0639, 0.0639
1297.1454,0.0000, 0.0007,0.0000, 0.0017,0.0639, 0.0639, 0.0639
1317.1426,0.0000, 0.0010,0.0000, 0.0019,0.0439, 0.0639, 0.0639
1337.1428,0.0000, 0.0010,0.0000, 0.0018,0.0240, 0.0639, 0.1039
1357.1425,0.0000, 0.0008,0.0000, 0.0015,-0.2956, 0.0639, 0.0639
1377.1414,0.0000, 0.0003,0.0000, 0.0010,-0.0160, 0.0439, 0.0839
1397.1404,0.0000, -0.0004,0.0000, 0.0004,0.1638, 0.0439, 0.1438
1417.1392,0.0000, -0.0009,0.0000, -0.0002,0.0439, 0.0040, 0.0839
1437.1390,0.0000, -0.0011,0.0000, -0.0006,0.0439, -0.0160, 0.0439
1457.1381,0.0000, -0.0012,0.0000, -0.0009,0.0639, -0.1758, 0.0439
1477.1364,0.0000, -0.0011,0.0000, -0.0011,0.0639, 0.0839, -0.1957
1497.1355,0.0000, -0.0009,0.0000, -0.0013,0.0639, 0.0439, -0.0559
1517.1334,0.0000, -0.0006,0.0000, -0.0012,0.2637, 0.0639, -0.0160
1537.1335,0.0000, -0.0001,0.0000, -0.0012,0.1238, 0.0639, 0.1438
1557.1329,0.0000, 0.0003,0.0000, -0.0013,0.3036, 0.0639, -0.2157
1577.1337,0.0000, 0.0006,0.0000, -0.0014,0.1039, 0.0639, -0.1758
1597.1326,0.0000, 0.0011,0.0000, -0.0013,0.1238, 0.2237, 0.0040
1618.1310,0.0000, 0.0013,0.0000, -0.0012,0.0839, 0.2237, 0.0439
1637.1302,0.0000, 0.0014,0.0000, -0.0011,0.0639, 0.2637, 0.0439
1658.1301,0.0000, 0.0014,0.0000, -0.0008,0.0639, 0.1238, 0.0639
1678.1290,0.0000, 0.0015,0.0000, -0.0007,0.0639, 0.3435, 0.2637
1698.1287,0.0000, 0.0016,0.0000, -0.0003,0.2037, 0.0240, 0.1039
1718.1265,0.0000, 0.0015,0.0000, 0.0001,0.0639, -0.0959, 0.2237
1739.1465,0.0000, 0.0014,0.0000, 0.0003,0.0439, 0.0439, 0.0040
1758.1234,0.0000, 0.0013,0.0000, 0.0006,-0.0160, 0.0240, 0.0639
1778.1248,0.0000, 0.0013,0.0000, 0.0008,-0.0360, -0.0360, 0.0639
1798.1216,0.0000, 0.0014,0.0000, 0.0010,0.1838, -0.0160, 0.0439
1818.1208,0.0000, 0.0017,0.0000, 0.0007,0.1438, 0.0040, 0.1438
1838.1217,0.0000, 0.0020,0.0000, 0.0002,-0.1358, 0.0240, 0.0240
1858.1372,0.0000, 0.0021,0.0000, -0.0003,0.1838, 0.0439, 0.0439
1879.1200,0.0000, 0.0021,0.0000, -0.0005,0.0639, 0.0639, 0.0639
1899.1219,0.0000, 0.0019,0.0000, -0.0007,0.0439, 0.0639, 0.0639
1919.1195,0.0000, 0.0015,0.0000, -0.0010,0.0639, 0.0639, 0.0639
1939.1182,0.0000, 0.0011,0.0000, -0.0011,0.0639, 0.0639, 0.0240
1959.1155,0.0000, 0.0008,0.0000, -0.0012,0.0639, 0.0639, -0.1558
1979.1150,0.0000, 0.0008,0.0000, -0.0013,0.0839, 0.1238, -0.0559
1999.1177,0.0000, 0.0011,0.0000, -0.0014,0.1438, 0.0839, 0.1638
2019.1151,0.0000, 0.0016,0.0000, -0.0014,0.0439, 0.1638, 0.0639
2039.1144,0.0000, 0.0020,0.0000, -0.0011,0.0639, 0.2437, 0.0639
2059.1138,0.0000, 0.0021,0.0000, -0.0006,0.0439, 0.1238, 0.0639
2079.1140,0.0000, 0.0023,0.0000, 0.0001,-0.0360, 0.1438, 0.0639
2099.1116,0.0000, 0.0025,0.0000, 0.0008,-0.2157, 0.2237, 0.1039
2119.1101,0.0000, 0.0022,0.0000, 0.0015,-0.2756, -0.0759, 0.1638
2139.1111,0.0000, 0.0015,0.0000, 0.0020,-0.0759, 0.0639, 0.3036
2159.1086,0.0000, 0.0008,0.0000, 0.0022,0.2237, 0.0639, 0.0839
2179.1086,0.0000, 0.0003,0.0000, 0.0021,0.0439, -0.1358, -0.0959
2199.1084,0.0000, 0.0001,0.0000, 0.0015,0.0639, -0.2557, 0.0639
2220.1057,0.0000, -0.0004,0.0000, 0.0006,0.0839, -0.1558, 0.0439
2240.1040,0.0000, -0.0008,0.0000, -0.0003,0.1238, -0.0160, 0.0240
2260.1030,0.0000, -0.0008,0.0000, -0.0012,0.0240, 0.0439, -0.0759
2280.1033,0.0000, -0.0008,0.0000, -0.0021,0.0040, 0.0439, -0.0160
2300.1038,0.0000, -0.0006,0.0000, -0.0026,0.3635, 0.0439, -0.0360
2320.1023,0.0000, 0.0000,0.0000, -0.0026,0.1238, 0.0639, -0.3356
2340.1023,0.0000, 0.0008,0.0000, -0.0022,0.1039, 0.0639, -0.0559
2360.0991,0.0000, 0.0015,0.0000, -0.0016,0.0240, 0.2037, 0.0439
2380.0999,0.0000, 0.0020,0.0000, -0.0007,0.0839, 0.0639, 0.0639
2400.0984,0.0000, 0.0024,0.0000, 0.0002,0.0639, 0.2037, 0.0439
2420.0989,0.0000, 0.0027,0.0000, 0.0008,0.0240, 0.3435, 0.0639
2440.0986,0.0000, 0.0028,0.0000, 0.0018,-0.4354, -0.0160, 0.2437
2460.0962,0.0000, 0.0024,0.0000, 0.0024,-0.2557, 0.0639, 0.1238
2480.0955,0.0000, 0.0019,0.0000, 0.0026,0.0839, 0.0639, 0.1638
2500.0957,0.0000, 0.0015,0.0000, 0.0026,0.0839, 0.0639, 0.2437
2520.0950,0.0000, 0.0011,0.0000, 0.0024,0.0639, -0.0559, 0.0240
2540.0950,0.0000, 0.0005,0.0000, 0.0020,0.0639, -0.1158, 0.2437
2560.0908,0.0000, -0.0001,0.0000, 0.0012,0.0639, -0.1358, 0.0839
2580.0913,0.0000, -0.0005,0.0000, 0.0000,0.2437, 0.0040, 0.0639
2601.0903,0.0000, -0.0006,0.0000, -0.0010,0.0639, 0.0639, 0.0439
2621.0896,0.0000, -0.0004,0.0000, -0.0018,0.1238, 0.0240, -0.0160
2641.0911,0.0000, 0.0001,0.0000, -0.0024,0.0839, 0.0439, 0.1039
2661.0903,0.0000, 0.0007,0.0000, -0.0025,0.0040, 0.0639, -0.2557
2681.0903,0.0000, 0.0010,0.0000, -0.0022,0.0839, 0.0639, -0.1358
2701.0889,0.0000, 0.0009,0.0000, -0.0015,0.0639, 0.1638, 0.0439
2721.0879,0.0000, 0.0006,0.0000, -0.0006,0.0639, 0.3036, 0.0439
2741.0869,0.0000, 0.0005,0.0000, 0.0002,0.0639, 0.1238, 0.0639
2761.0874,0.0000, 0.0005,0.0000, 0.0008,0.0639, 0.2437, 0.0639
2781.0850,0.0000, 0.0006,0.0000, 0.0013,0.0639, 0.1039, 0.0639
2801.0859,0.0000, 0.0009,0.0000, 0.0016,0.0240, 0.0639, 0.1638
2821.0845,0.0000, 0.0010,0.0000, 0.0018,-0.1358, 0.0639, 0.1039
2841.0845,0.0000, 0.0009,0.0000, 0.0019,-0.2157, 0.0439, 0.4434
2861.0828,0.0000, 0.0005,0.0000, 0.0016,-0.0160, -0.1158, 0.2437
2881.0796,0.0000, -0.0001,0.0000, 0.0012,0.1638, 0.0439, 0.0639
2901.0803,0.0000, -0.0006,0.0000, 0.0007,0.0439, 0.0040, 0.0639
2921.0854,0.0000, -0.0012,0.0000, 0.0002,0.0639, 0.0040, 0.0240
2942.0786,0.0000, -0.0015,0.0000, -0.0004,0.0439, 0.0439, -0.1957
2961.0771,0.0000, -0.0017,0.0000, -0.0010,0.0639, 0.0639, -0.1558
2982.0757,0.0000, -0.0017,0.0000, -0.0014,0.0639, 0.0639, 0.0040
3002.0750,0.0000, -0.0014,0.0000, -0.0016,0.0639, 0.0639, 0.0839
3022.0747,0.0000, -0.0012,0.0000, -0.0015,0.1039, 0.0639, -0.2157
3042.0764,0.0000, -0.0009,0.0000, -0.0012,0.0839, 0.0639, -0.1558
3062.0742,0.0000, -0.0008,0.0000, -0.0007,0.1238, 0.2437, 0.0439
3082.0715,0.0000, -0.0007,0.0000, -0.0001,0.1238, 0.3435, 0.0439
3102.0713,0.0000, -0.0005,0.0000, 0.0005,0.1039, 0.1438, 0.0639
3122.0701,0.0000, -0.0003,0.0000, 0.0008,0.4035, 0.0639, 0.0639
3142.0701,0.0000, 0.0002,0.0000, 0.0009,0.0839, 0.0639, 0.0839
3162.0696,0.0000, 0.0005,0.0000, 0.0010,0.0639, 0.0439, 0.1638
3182.0657,0.0000, 0.0005,0.0000, 0.0011,0.0639, 0.0439, 0.1438
3202.0679,0.0000, 0.0006,0.0000, 0.0011,0.0439, 0.0439, 0.3236
3222.0649,0.0000, 0.0007,0.0000, 0.0009,0.0240, 0.1638, 0.0839
3242.0652,0.0000, 0.0008,0.0000, 0.0006,0.0639, 0.0240, 0.0639
3262.0647,0.0000, 0.0010,0.0000, 0.0004,-0.0959, -0.0160, 0.0439
3282.0640,0.0000, 0.0010,0.0000, -0.0000,-0.2557, 0.0439, 0.0439
3302.0625,0.0000, 0.0004,0.0000, -0.0006,-0.0559, 0.0639, 0.0240
3323.0640,0.0000, -0.0002,0.0000, -0.0010,0.0240, 0.0639, -0.0759
3343.0618,0.0000, -0.0006,0.0000, -0.0013,0.0439, 0.0639, 0.0240
3363.0605,0.0000, -0.0010,0.0000, -0.0013,0.0439, 0.0639, -0.0360
3383.0620,0.0000, -0.0011,0.0000, -0.0012,0.0639, 0.0639, -0.0759
3403.0608,0.0000, -0.0011,0.0000, -0.0010,0.1039, 0.1238, -0.1558
3423.0598,0.0000, -0.0010,0.0000, -0.0007,0.1039, 0.1438, 0.0240
3443.0603,0.0000, -0.0007,0.0000, -0.0004,0.2437, 0.2836, 0.0439
3463.0588,0.0000, -0.0003,0.0000, 0.0001,0.1638, 0.0439, 0.0639
3483.0588,0.0000, 0.0003,0.0000, 0.0006,0.1238, -0.0160, 0.0639
3503.0571,0.0000, 0.0010,0.0000, 0.0011,0.1238, 0.0639, 0.1438
3523.0571,0.0000, 0.0016,0.0000, 0.0016,0.0839, 0.0639, 0.1438
3543.0559,0.0000, 0.0020,0.0000, 0.0021,0.0439, 0.0639, 0.0839
3563.0554,0.0000, 0.0023,0.0000, 0.0026,-0.1957, -0.0160, 0.3036
3583.0549,0.0000, 0.0024,0.0000, 0.0028,-0.4155, -0.0959, 0.1438
3603.0518,0.0000, 0.0020,0.0000, 0.0028,-0.3555, -0.0759, 0.2237
3623.0527,0.0000, 0.0015,0.0000, 0.0026,-0.0959, -0.0360, 0.0439
3643.0513,0.0000, 0.0013,0.0000, 0.0021,0.1638, -0.0160, 0.1838
3663.0483,0.0000, 0.0008,0.0000, 0.0013,0.0639, -0.0559, 0.2437
3683.0491,0.0000, -0.0002,0.0000, 0.0003,0.0639, 0.0439, 0.0639
3703.0486,0.0000, -0.0011,0.0000, -0.0005,0.0639, 0.0439, 0.0240
3724.0479,0.0000, -0.0018,0.0000, -0.0013,0.0639, 0.0639, -0.1758
3744.0454,0.0000, -0.0021,0.0000, -0.0018,0.0839, 0.0639, 0.1438
3764.0461,0.0000, -0.0019,0.0000, -0.0020,0.1039, 0.0639, -0.1358
3784.0449,0.0000, -0.0013,0.0000, -0.0019,0.3236, 0.0639, 0.0439
3804.0449,0.0000, -0.0005,0.0000, -0.0014,0.3236, 0.0639, 0.0040
3824.0442,0.0000, 0.0005,0.0000, -0.0006,0.0040, 0.1838, 0.0040
3844.0417,0.0000, 0.0013,0.0000, 0.0004,0.0639, 0.0240, 0.0240
3864.0420,0.0000, 0.0018,0.0000, 0.0013,0.0639, 0.2037, 0.0439
3884.0398,0.0000, 0.0025,0.0000, 0.0022,0.0439, 0.0040, 0.0439
3904.0413,0.0000, 0.0029,0.0000, 0.0030,-0.2157, 0.0839, 0.0439
3924.0400,0.0000, 0.0031,0.0000, 0.0034,-0.3555, 0.0439, 0.2237
3944.0378,0.0000, 0.0028,0.0000, 0.0035,-0.2557, 0.0439, 0.5233
3963.0374,0.0000, 0.0021,0.0000, 0.0031,0.0240, -0.0360, 0.4834
3984.0371,0.0000, 0.0010,0.0000, 0.0024,0.0639, 0.0439, 0.3835
4004.0544,0.0000, -0.0001,0.0000, 0.0016,0.0639, -0.1358, 0.1238
4024.0352,0.0000, -0.0012,0.0000, 0.0008,0.0639, -0.0759, 0.0839
4044.0354,0.0000, -0.0020,0.0000, -0.0002,0.0639, -0.0360, 0.0639
4064.0339,0.0000, -0.0024,0.0000, -0.0011,0.0639, 0.0439, 0.0040
4085.0327,0.0000, -0.0025,0.0000, -0.0019,0.0839, 0.0439, -0.3755
4104.0322,0.0000, -0.0022,0.0000, -0.0025,0.3835, 0.0439, -0.1158
4125.0288,0.0000, -0.0015,0.0000, -0.0026,0.1438, 0.0639, -0.1957
4145.0283,0.0000, -0.0006,0.0000, -0.0021,0.0839, 0.0639, 0.0040
4165.0298,0.0000, 0.0001,0.0000, -0.0013,0.0240, 0.0639, -0.1158
4185.0288,0.0000, 0.0005,0.0000, -0.0002,-0.0759, 0.0040, -0.0360
4205.0293,0.0000, 0.0012,0.0000, 0.0008,0.0639, 0.1238, 0.0240
4225.0288,0.0000, 0.0019,0.0000, 0.0015,0.0639, 0.1438, 0.0439
4245.0259,0.0000, 0.0026,0.0000, 0.0019,0.0240, 0.1438, 0.2237
4265.0273,0.0000, 0.0028,0.0000, 0.0022,-0.2157, 0.1438, 0.1039
4285.0264,0.0000, 0.0028,0.0000, 0.0024,-0.2756, 0.0639, 0.5033
4304.0259,0.0000, 0.0023,0.0000, 0.0023,-0.1158, 0.0639, 0.4634
4325.0249,0.0000, 0.0016,0.0000, 0.0021,-0.0759, 0.0439, 0.2237
4345.0215,0.0000, 0.0009,0.0000, 0.0017,0.0240, -0.1558, 0.1039
4365.0205,0.0000, 0.0001,0.0000, 0.0013,0.0639, -0.1358, 0.0639
4385.0200,0.0000, -0.0005,0.0000, 0.0006,0.0639, -0.1158, 0.0639
4405.0200,0.0000, -0.0008,0.0000, -0.0001,0.0639, -0.0959, 0.0639
4425.0195,0.0000, -0.0008,0.0000, -0.0010,0.0839, 0.0439, 0.0439
4445.0186,0.0000, -0.0005,0.0000, -0.0018,0.2637, 0.0439, -0.2557
4466.0176,0.0000, 0.0001,0.0000, -0.0023,0.1638, 0.0639, -0.2157
4485.0171,0.0000, 0.0006,0.0000, -0.0023,0.0439, 0.0639, -0.1158
4506.0161,0.0000, 0.0008,0.0000, -0.0019,0.0639, 0.3236, 0.0439
4526.0176,0.0000, 0.0007,0.0000, -0.0012,0.0639, 0.3236, 0.0439
4546.0161,0.0000, 0.0006,0.0000, -0.0001,0.0639, 0.0439, 0.0639
4566.0151,0.0000, 0.0008,0.0000, 0.0006,0.0439, 0.1638, 0.0839
4586.0137,0.0000, 0.0011,0.0000, 0.0011,0.0439, 0.2037, 0.0639
4606.0117,0.0000, 0.0015,0.0000, 0.0015,0.0240, -0.0759, 0.0040
4626.0132,0.0000, 0.0019,0.0000, 0.0018,0.1838, 0.0639, 0.1438
4646.0122,0.0000, 0.0022,0.0000, 0.0021,-0.2557, -0.1358, 0.3036
4666.0127,0.0000, 0.0019,0.0000, 0.0021,-0.3555, -0.1158, 0.2437
4686.0098,0.0000, 0.0011,0.0000, 0.0018,0.0839, 0.0240, 0.1638
4706.0098,0.0000, 0.0005,0.0000, 0.0013,0.0639, -0.0559, 0.0639
4726.0083,0.0000, 0.0001,0.0000, 0.0007,0.0639, 0.1438, 0.0639
4746.0068,0.0000, -0.0003,0.0000, -0.0002,0.0639, 0.2037, -0.0959
4766.0059,0.0000, -0.0006,0.0000, -0.0011,0.0639, 0.0439, 0.0240
4786.0063,0.0000, -0.0008,0.0000, -0.0018,0.0639, 0.0439, 0.0240
4806.0044,0.0000, -0.0008,0.0000, -0.0024,0.0639, 0.0639, -0.0759
4827.0068,0.0000, -0.0006,0.0000, -0.0026,0.0639, 0.0639, -0.1158
4847.0063,0.0000, -0.0003,0.0000, -0.0024,0.1638, 0.0639, -0.1158
4867.0068,0.0000, 0.0001,0.0000, -0.0018,0.1438, 0.3236, -0.0759
4887.0024,0.0000, 0.0005,0.0000, -0.0009,0.3835, 0.2637, 0.0240
4907.0049,0.0000, 0.0010,0.0000, 0.0000,0.1039, -0.0160, 0.0439
4927.0024,0.0000, 0.0016,0.0000, 0.0007,0.0639, 0.1238, 0.0639
4947.0029,0.0000, 0.0021,0.0000, 0.0011,0.0639, 0.0639, 0.0639
4967.0010,0.0000, 0.0025,0.0000, 0.0014,0.0240, 0.0639, 0.0839
4986.9995,0.0000, 0.0029,0.0000, 0.0016,-0.2157, 0.0639, 0.0839
5007.0015,0.0000, 0.0031,0.0000, 0.0017,-0.1957, 0.0639, 0.2037
5025.9980,0.0000, 0.0030,0.0000, 0.0015,-0.1158, 0.0639, 0.3835
5046.9966,0.0000, 0.0026,0.0000, 0.0011,0.1438, 0.0639, 0.2437
5066.9951,0.0000, 0.0021,0.0000, 0.0004,0.0439, 0.0240, 0.1238
5086.9966,0.0000, 0.0014,0.0000, -0.0002,0.0639, 0.0240, 0.1238
5106.9946,0.0000, 0.0007,0.0000, -0.0009,0.0839, 0.0439, 0.0639
5126.9941,0.0000, 0.0001,0.0000, -0.0016,0.0639, 0.0439, 0.0639
5146.9946,0.0000, -0.0003,0.0000, -0.0021,0.0639, 0.0639, 0.0439
5166.9932,0.0000, -0.0003,0.0000, -0.0023,-0.0959, 0.0439, -0.1558
5187.9907,0.0000, 0.0000,0.0000, -0.0023,0.0639, 0.0639, -0.1358
5206.9888,0.0000, 0.0005,0.0000, -0.0020,0.1039, 0.0639, -0.1957
5227.9863,0.0000, 0.0008,0.0000, -0.0014,0.0839, 0.1838, 0.1638
5247.9858,0.0000, 0.0008,0.0000, -0.0006,0.0639, 0.1838, 0.0439
5267.9868,0.0000, 0.0008,0.0000, 0.0004,0.0639, 0.2437, 0.0439
5287.9849,0.0000, 0.0008,0.0000, 0.0011,0.0639, 0.1039, 0.0639
5307.9839,0.0000, 0.0007,0.0000, 0.0015,0.0439, 0.0639, 0.0639
5327.9829,0.0000, 0.0006,0.0000, 0.0018,-0.0360, 0.0639, 0.0839
5347.9839,0.0000, 0.0005,0.0000, 0.0019,-0.2357, 0.0439, 0.4634
5367.9819,0.0000, 0.0003,0.0000, 0.0017,0.0040, -0.0360, 0.2237
5387.9819,0.0000, 0.0001,0.0000, 0.0013,0.1838, -0.2956, 0.2637
5407.9810,0.0000, -0.0001,0.0000, 0.0008,0.0439, 0.1238, 0.0839
5427.9766,0.0000, -0.0003,0.0000, 0.0002,0.1238, -0.0160, 0.0439
5447.9775,0.0000, -0.0006,0.0000, -0.0002,0.1039, 0.0439, -0.0160
5467.9766,0.0000, -0.0009,0.0000, -0.0007,0.0240, 0.0639, -0.0160
5487.9785,0.0000, -0.0010,0.0000, -0.0013,0.0439, 0.0639, 0.1238
5507.9766,0.0000, -0.0010,0.0000, -0.0016,0.0240, 0.0639, -0.0160
5527.9741,0.0000, -0.0008,0.0000, -0.0017,0.1039, 0.0639, -0.1358
5547.9746,0.0000, -0.0007,0.0000, -0.0014,0.1039, 0.0639, -0.0559
5567.9751,0.0000, -0.0006,0.0000, -0.0010,0.0639, 0.1438, 0.2037
5588.9736,0.0000, -0.0005,0.0000, -0.0004,0.0639, 0.1638, 0.0639
5608.9702,0.0000, -0.0003,0.0000, 0.0001,0.0639, 0.1039, 0.0439
5628.9702,0.0000, -0.0002,0.0000, 0.0004,0.0240, 0.0240, 0.2437
5648.9702,0.0000, -0.0001,0.0000, 0.0005,0.0439, 0.0639, 0.2237
5668.9688,0.0000, -0.0000,0.0000, 0.0005,0.0040, 0.0639, 0.2037
5688.9688,0.0000, -0.0001,0.0000, 0.0006,0.0639, 0.0439, 0.2237
5708.9673,0.0000, -0.0002,0.0000, 0.0005,0.0839, -0.1758, 0.2437
5728.9678,0.0000, -0.0003,0.0000, 0.0002,0.0839, -0.0759, 0.0639
5748.9668,0.0000, -0.0003,0.0000, -0.0002,0.0439, 0.0040, 0.0240
5768.9668,0.0000, -0.0003,0.0000, -0.0007,0.0040, 0.1438, -0.1957
5788.9639,0.0000, -0.0003,0.0000, -0.0012,0.2037, 0.0439, -0.0360
5808.9648,0.0000, -0.0001,0.0000, -0.0014,0.1238, 0.0439, 0.1238
5828.9629,0.0000, -0.0001,0.0000, -0.0016,0.0639, 0.0639, 0.0240
5848.9639,0.0000, -0.0001,0.0000, -0.0016,0.0639, 0.0639, 0.0439
5868.9604,0.0000, -0.0002,0.0000, -0.0015,0.0439, 0.0639, 0.0240
5888.9629,0.0000, -0.0003,0.0000, -0.0012,-0.0160, 0.0639, -0.0160
5908.9604,0.0000, -0.0004,0.0000, -0.0010,0.1238, 0.1838, 0.0439
5928.9590,0.0000, -0.0004,0.0000, -0.0008,0.0439, 0.1039, 0.0439
5948.9585,0.0000, -0.0004,0.0000, -0.0005,0.1039, 0.3036, 0.0439
5969.9580,0.0000, -0.0004,0.0000, -0.0002,0.2637, 0.1438, 0.0839
5988.9570,0.0000, -0.0004,0.0000, 0.0000,0.1039, 0.2836, 0.0639
6009.9565,0.0000, -0.0004,0.0000, 0.0002,0.0639, 0.1838, 0.0639
6029.9551,0.0000, -0.0005,0.0000, 0.0004,0.0639, 0.0839, 0.2836
6049.9570,0.0000, -0.0007,0.0000, 0.0005,0.0439, 0.0639, 0.0839
6069.9521,0.0000, -0.0010,0.0000, 0.0007,0.0639, 0.0439, 0.2037
6089.9531,0.0000, -0.0012,0.0000, 0.0009,0.0639, -0.0160, 0.0639
6109.9526,0.0000, -0.0012,0.0000, 0.0009,0.0439, -0.1358, 0.0439
6129.9521,0.0000, -0.0010,0.0000, 0.0008,0.1039, -0.1158, 0.0040
6149.9517,0.0000, -0.0010,0.0000, 0.0005,0.0639, -0.0160, 0.0439
6169.9517,0.0000, -0.0009,0.0000, 0.0001,0.0839, 0.0639, 0.0639
6189.9507,0.0000, -0.0008,0.0000, -0.0004,0.0839, 0.0439, 0.0639
6209.9517,0.0000, -0.0010,0.0000, -0.0008,0.1039, 0.0639, 0.0639
